,German Apples (EUR),UK Apples (GBP),EURGBP
2015-01-01,100.0,119.15867578092376,0.85
2015-01-02,99.40554532852796,117.28097974896045,0.8540553805666896
2015-01-05,99.72534493346593,117.67820243974921,0.8501605944909023
2015-01-06,101.79375292167474,121.44744838127359,0.8501282238766146
2015-01-07,101.4295139580102,122.71926652748867,0.8467813552762807
2015-01-08,101.25569611314437,119.28839500455632,0.8477517573254864
2015-01-09,103.51946272840043,122.86735434083526,0.8501232055114419
2015-01-12,104.61685820034249,127.37817879521464,0.8489973046411425
2015-01-13,104.21971630723941,127.10274118643402,0.842061884785543
2015-01-14,104.91574693127686,125.28789418070193,0.8425897094975504
2015-01-15,103.91986866227818,125.50542529345223,0.843749571058589
2015-01-16,103.6607915961141,122.63522059053378,0.8448246935632434
2015-01-19,103.78864181674793,123.36140798300441,0.8481194533200916
2015-01-20,101.02260532428993,121.48049799460861,0.8452631412470517
2015-01-21,98.79941451851798,113.90879444988109,0.8470760414284175
2015-01-22,97.82421271871902,113.81506799669654,0.8502636803884699
2015-01-23,96.46078454146428,114.89645926906373,0.8455137994652763
2015-01-26,96.95229396448336,114.2150988746943,0.8463654987207243
2015-01-27,95.95850616407452,115.91984967821384,0.8450225223673627
2015-01-28,94.00371474691556,111.07721081462493,0.8448055718582098
2015-01-29,95.61247411274898,111.89274420331839,0.8457312065749335
2015-01-30,95.66784970997217,116.44424061309572,0.8444343210770225
2015-02-02,95.90290416344898,114.26425416601997,0.8426390391713486
2015-02-03,94.8182259690614,113.55837852860509,0.8427296867315397
2015-02-04,94.5245706031872,112.06533109111433,0.8398486923456383
2015-02-05,95.00230621822641,114.64139348475686,0.8369812926517436
2015-02-06,93.22988443620869,113.2213735464056,0.8387742034745762
2015-02-09,93.90158684407122,111.54847819974488,0.8357446997489183
2015-02-10,93.18179416284823,113.5619367029731,0.8375005081797974
2015-02-11,92.6826802157696,110.78524916415735,0.838721657282467
2015-02-12,92.03507078036054,111.35335829721903,0.8341749193867399
2015-02-13,94.49274312050481,113.92226681335083,0.832396581562734
2015-02-16,94.62958300279364,117.53114820209596,0.8355331957804408
2015-02-17,93.1226078562217,113.06821538716711,0.8329550656706202
2015-02-18,94.31670195180796,113.0167946685272,0.8317375630228759
2015-02-19,92.6944476940851,113.7755384018823,0.8329489177196407
2015-02-20,93.00583001486494,110.98504595202016,0.8350067137149929
2015-02-23,90.65461774712224,109.82859444441767,0.8343454224196831
2015-02-24,89.09236348917226,105.0856513607201,0.8327766774783291
2015-02-25,89.5329723080231,106.59446368499187,0.8365159233410894
2015-02-26,90.07783660998305,108.79051236306435,0.8411101067825968
2015-02-27,90.8309109209671,109.35054502128997,0.8437073460723512
2015-03-02,90.18349476744658,109.25753974131909,0.84393410339001
2015-03-03,89.67661939814647,106.74974686360747,0.8417883503513199
2015-03-04,88.12781430549578,105.49306798077566,0.8395894003680053
2015-03-05,87.49652782834555,103.86992727649178,0.8409723046520815
2015-03-06,86.96613772796236,104.21573125213433,0.8420812941959358
2015-03-09,88.11970977055526,105.24722380258136,0.8458069813318974
2015-03-10,88.62005670555398,107.0480960917681,0.847541583681189
2015-03-11,86.61368856371271,104.8591318857958,0.8435385862874469
2015-03-12,87.3539918390679,101.72822448713863,0.8463381379065338
2015-03-13,87.16479636079453,105.0938428443803,0.8436817706112324
2015-03-16,86.66593874454777,103.04289977289498,0.842662042148999
2015-03-17,87.07448614848163,104.38723432061006,0.843326369241825
2015-03-18,88.19435163378694,105.30961985517776,0.8486440130964553
2015-03-19,89.1543601321924,106.5048731429863,0.8569976013451108
2015-03-20,87.94120268800476,104.40779367181625,0.858636887894424
2015-03-23,87.7021858487244,102.17857650811716,0.8581415843468629
2015-03-24,87.92345511733579,103.04227231308067,0.8595875121442892
2015-03-25,89.19824206863363,104.46750225854579,0.8619941541715636
2015-03-26,88.36652307332439,105.4271241566496,0.8611239726264825
2015-03-27,88.64222001183654,102.08217399254248,0.8660068904209396
2015-03-30,87.17226840556494,101.78719573157875,0.8666346738867607
2015-03-31,85.93110671999771,97.83796883358956,0.8679944002231648
2015-04-01,87.03554153615661,99.3216244425786,0.8698168980834353
2015-04-02,88.38001867613171,103.99679098478543,0.8709726716558197
2015-04-03,88.54079224581264,103.47396725275745,0.8732771856115664
2015-04-06,89.32441183732358,103.33520568666385,0.8715810401786406
2015-04-07,90.14724855117836,105.68557161462401,0.8700497245808433
2015-04-08,89.42505784478482,105.07293598971853,0.8670400804301595
2015-04-09,89.6681157718301,104.24433988636162,0.8682411540676291
2015-04-10,91.34011252601336,106.99983411290275,0.8703739289634227
2015-04-13,91.53543936763293,107.84972644208571,0.871629781900927
2015-04-14,93.18974573642852,107.91142408099465,0.8762390371170601
2015-04-15,89.95516981822323,105.93075608024174,0.8762235928369023
2015-04-16,90.83169959614266,100.7676066391936,0.8780711612061772
2015-04-17,90.59849754161293,105.20637403242415,0.8750570681798427
2015-04-20,90.78048574677426,104.74414923168479,0.8739908054753076
2015-04-21,90.72710294902686,104.87809926073079,0.8759075891779097
2015-04-22,88.71900667832705,101.95674509776039,0.8782532694541116
2015-04-23,88.53571168468866,99.92070861931533,0.8774404633263089
2015-04-24,88.6631076248281,101.75633192830885,0.877242608382226
2015-04-27,90.33134505424795,104.38262247807818,0.8730586499080578
